Date,Confirmed,Deaths,Recovered,ConfirmedCom,DeathsCom
1,4,0,0,4,0
2,7,0,0,11,0
3,2,0,0,13,0
4,17,0,0,30,0
5,13,0,0,43,0
6,39,0,0,82,0
7,36,0,0,118,0
8,45,1,0,163,1
9,57,1,0,220,2
10,37,1,0,257,2
11,141,2,0,398,3
12,100,5,28,498,7
13,173,7,0,671,12
14,400,11,2,1071,18
15,622,7,0,1693,18
16,582,19,151,2275,26
17,0,1,0,2275,20
18,2955,78,10,5230,79
19,1159,62,324,6389,140
20,1407,94,0,7796,156
21,2144,53,13,9940,147
22,1806,191,498,11746,244
23,2162,90,53,13908,281
24,4053,207,26,17961,297
25,2447,213,481,20408,420
26,4964,332,537,25372,545
27,3394,397,450,28766,729
28,6368,539,0,35134,936
29,4749,497,1219,39883,1036
30,9630,839,1573,49513,1336
31,8271,718,1648,57784,1557
32,7933,773,2342,65717,1491
33,7516,844,2928,73233,1617
34,6875,821,2424,80108,1665
35,7846,913,2071,87954,1734
36,7967,748,2479,95921,1661
37,8195,923,3388,104116,1671
38,7947,961,4096,112063,1884
39,7134,850,3770,119197,1811
40,6969,749,3706,126166,1599
41,5478,694,3861,131644,1443
42,5029,700,2357,136673,1394
43,5267,704,2771,141940,1404
44,6278,747,4813,148218,1451
45,5002,655,4144,153220,1402
46,5051,634,3503,158271,1289
47,4754,525,3441,163025,1159
48,3804,603,3282,166829,1128
